Time,Rear Wheel Input,Rear Wheel Ticks,Rear Wheel Speed
8175,-50,228,66.57
8285,-49,541,66.57
8395,-49,850,64.27
8505,-48,1158,64.27
8615,-48,1459,64.27
8716,-47,1733,64.27
8826,-47,2028,59.68
8936,-46,2320,59.68
9046,-46,2605,59.68
9156,-45,2891,59.68
9257,-45,3146,59.68
9367,-44,3423,57.39
9477,-44,3697,57.39
9587,-43,3968,57.39
9697,-43,4233,55.09
9807,-42,4495,55.09
9908,-42,4730,52.80
10018,-41,4984,50.50
10128,-41,5236,52.80
10238,-40,5483,50.50
10348,-40,5729,50.50
10449,-39,5948,50.50
10559,-38,6184,48.20
10669,-38,6415,48.20
10779,-37,6647,48.20
10889,-37,6872,48.20
10990,-36,7074,45.91
11100,-36,7290,43.61
11210,-35,7506,43.61
11320,-35,7715,43.61
11430,-34,7924,43.61
11540,-34,8125,43.61
11641,-33,8303,39.02
11751,-33,8497,41.32
11861,-32,8687,39.02
11971,-32,8875,39.02
12081,-31,9058,36.73
12182,-31,9221,36.73
12292,-30,9396,34.43
12402,-30,9570,36.73
12512,-29,9738,34.43
12622,-29,9905,34.43
12723,-28,10050,32.14
12833,-27,10207,34.43
12943,-27,10358,32.14
13053,-26,10511,32.14
13163,-26,10657,29.84
13273,-25,10802,29.84
13374,-25,10927,29.84
13484,-24,11063,25.25
13594,-24,11194,27.55
13704,-23,11322,25.25
13814,-23,11447,27.55
13915,-22,11558,25.25
14025,-22,11675,22.95
14135,-21,11788,22.95
14245,-21,11896,20.66
14355,-20,12001,22.95
14456,-20,12093,22.95
14566,-19,12187,18.36
14676,-19,12281,20.66
14786,-18,12370,18.36
14896,-18,12459,18.36
15006,-17,12542,16.07
15107,-16,12617,16.07
15217,-16,12692,16.07
15327,-15,12766,16.07
15437,-15,12832,13.77
15547,-14,12897,13.77
15648,-14,12950,13.77
15758,-13,13007,11.48
15868,-13,13058,11.48
15978,-12,13106,9.18
16088,-12,13147,6.89
16189,-11,13187,9.18
16299,-11,13221,6.89
16409,-10,13253,6.89
16519,-10,13283,6.89
16629,-9,13306,6.89
16739,-9,13320,0.00
16840,-8,13320,0.00
16950,-8,13320,0.00
17060,-7,13320,0.00
17170,-7,13320,0.00
17280,-6,13320,0.00
17381,-6,13320,0.00
17491,-5,13320,0.00
17601,-4,13320,0.00
17711,-4,13320,0.00
17821,-3,13320,0.00
17932,-3,13320,0.00
18042,-2,13320,0.00
18152,-2,13320,0.00
18262,-1,13320,0.00
18372,-1,13320,0.00
18482,0,13319,0.00
18583,0,13319,0.00
18693,1,13319,0.00
18803,1,13319,0.00
18913,2,13319,0.00
19023,2,13319,0.00
19124,3,13318,0.00
19234,3,13318,0.00
19344,4,13318,0.00
19454,4,13318,0.00
19564,5,13318,0.00
19675,6,13318,0.00
19785,6,13318,0.00
19895,7,13317,0.00
20005,7,13317,0.00
20115,8,13315,-2.30
20225,8,13307,0.00
20326,9,13307,0.00
20436,9,13307,0.00
20546,10,13307,0.00
20656,10,13307,0.00
20766,11,13307,0.00
20867,11,13307,0.00
20977,12,13299,-4.59
21087,12,13259,-9.18
21197,13,13215,-9.18
21307,13,13167,-9.18
21418,14,13115,-9.18
21528,15,13060,-11.48
21638,15,12998,-13.77
21748,16,12936,-13.77
21858,16,12867,-16.07
21968,17,12796,-16.07
22069,17,12726,-16.07
22179,18,12648,-16.07
22289,18,12566,-16.07
22399,19,12482,-18.36
22509,19,12394,-18.36
22610,20,12311,-20.66
22720,20,12213,-22.95
22830,21,12111,-22.95
22940,21,12004,-22.95
23050,22,11894,-25.25
23151,22,11791,-22.95
23261,23,11672,-25.25
23371,23,11552,-25.25
23481,24,11427,-27.55
23591,24,11301,-25.25
23701,25,11167,-27.55
23802,26,11045,-27.55
23912,26,10903,-29.84
24022,27,10761,-29.84
24132,27,10613,-32.14
24242,28,10465,-29.84
24343,28,10325,-32.14
24453,29,10167,-34.43
24563,29,10002,-34.43
24673,30,9836,-34.43
24783,30,9665,-36.73
24884,31,9507,-36.73
24994,31,9331,-36.73
25104,32,9147,-41.32
25214,32,8955,-41.32
25324,33,8760,-41.32
25434,33,8562,-41.32
25535,34,8379,-43.61
25645,34,8174,-43.61
25755,35,7961,-45.91
25865,35,7748,-43.61
25975,36,7529,-45.91
26076,37,7329,-48.20
26186,37,7103,-48.20
26296,38,6875,-48.20
26406,38,6643,-48.20
26516,39,6410,-48.20
26617,39,6192,-50.50
26727,40,5949,-50.50
26837,40,5701,-50.50
26947,41,5451,-52.80
27057,41,5197,-52.80
27167,42,4939,-55.09
27268,42,4701,-55.09
27378,43,4439,-55.09
27488,43,4170,-57.39
27598,44,3897,-57.39
27708,44,3621,-55.09
27809,45,3365,-59.68
27919,45,3081,-59.68
28029,46,2792,-59.68
28139,46,2503,-59.68
28249,47,2206,-61.98
28350,47,1934,-61.98
28460,48,1630,-64.27
28570,49,1326,-61.98
28680,49,1014,-64.27
28790,50,702,-64.27
28900,50,385,-64.27
29001,51,92,-68.86
29111,51,-234,-68.86