Time,Rear Wheel Input,Rear Wheel Ticks,Rear Wheel Speed
55300,-100,-1200,172.16
55410,-100,-386,169.86
55520,-100,429,169.86
55630,-100,1244,172.16
56382,-100,6799,169.86
56492,-100,7614,169.86
56602,-100,8429,169.86
56712,-100,9245,169.86
56822,-100,10060,172.16
57464,-100,14804,169.86
57574,-100,15619,169.86
57684,-100,16435,169.86
57794,-100,17251,172.16
57904,-100,18066,169.86
58014,-100,18881,167.57
58656,-100,23629,169.86
58766,-100,24445,169.86
58876,-100,25261,169.86
58986,-100,26077,172.16
59096,100,25724,-162.98
59848,100,20268,-167.57
59958,100,19468,-167.57
60068,100,18667,-167.57
60178,100,17867,-167.57
60288,100,17066,-167.57
60930,100,12409,-167.57
61040,100,11609,-169.86
61150,100,10809,-167.57
61260,100,10009,-165.27
61370,100,9208,-167.57
61480,100,8408,-165.27
62122,100,3749,-167.57
62232,100,2948,-165.27
62342,100,2147,-167.57
62452,100,1346,-167.57
62562,100,545,-167.57
63314,100,-4915,-169.86
63424,100,-5715,-167.57
63534,100,-6516,-167.57
63644,100,-7317,-167.57
63754,100,-8117,-165.27
64396,-100,-7362,169.86
64506,-100,-6547,169.86
64616,-100,-5733,169.86
64726,-100,-4918,169.86
64836,-100,-4103,169.86
64946,-100,-3288,172.16
65588,-100,1455,169.86
65698,-100,2271,169.86
65808,-100,3087,169.86
65918,-100,3902,169.86
66028,-100,4719,172.16
66780,-100,10281,172.16
66890,-100,11097,169.86
67000,-100,11913,169.86
67110,-100,12729,169.86
67220,-100,13544,169.86
67761,-100,17549,169.86
68513,-100,23115,172.16
68623,-100,23931,169.86
68733,-100,24748,172.16
68843,-100,25564,169.86
68953,-100,26381,169.86
69595,100,22903,-167.57
69705,100,22100,-167.57
69815,100,21299,-167.57
69925,100,20497,-167.57
70035,100,19696,-165.27
70246,100,18165,-167.57
70356,100,17364,-167.57
70466,100,16563,-167.57
70576,100,15762,-167.57
70686,100,14961,-165.27
71328,100,10301,-169.86
71438,100,9501,-165.27
71548,100,8700,-167.57
71658,100,7900,-165.27
71768,100,7099,-167.57
71878,100,6298,-167.57
72520,100,1641,-165.27
72630,100,840,-167.57
72740,100,40,-167.57
72850,100,-760,-165.27
72960,100,-1561,-167.57
73712,100,-7020,-167.57
73822,100,-7820,-167.57
73932,100,-8621,-167.57
74042,-100,-9319,4.59
74152,-100,-8628,167.57
74794,-100,-3890,169.86
74904,-100,-3075,169.86
75014,-100,-2260,172.16
75124,-100,-1446,167.57
75234,-100,-631,169.86
75344,-100,185,172.16